,rlon,rlat,time,TOT_PR,year,month
2032,-2.52,-0.92,0,0.005660923,1999,6
2160,-2.84,-0.9,0,0.0033926645,1999,6
2161,-2.82,-0.9,0,0.0022558314,1999,6
2162,-2.8,-0.9,0,0.0026421165,1999,6
2163,-2.78,-0.9,0,0.003072401,1999,6
2164,-2.76,-0.9,0,0.00313708,1999,6
2165,-2.74,-0.9,0,0.0032108175,1999,6
2166,-2.72,-0.9,0,0.005952594,1999,6
2167,-2.7,-0.9,0,0.0048957644,1999,6
2168,-2.68,-0.9,0,0.0045469413,1999,6
2169,-2.66,-0.9,0,0.0039385003,1999,6
2170,-2.64,-0.9,0,0.0032502138,1999,6
2171,-2.62,-0.9,0,0.003652503,1999,6
2172,-2.6,-0.9,0,0.0046575754,1999,6
2173,-2.58,-0.9,0,0.0049361065,1999,6
2174,-2.56,-0.9,0,0.008415839,1999,6
2175,-2.54,-0.9,0,0.019503225,1999,6
2176,-2.52,-0.9,0,0.018379947,1999,6
2304,-2.84,-0.88,0,0.0039273105,1999,6
2305,-2.82,-0.88,0,0.0029740192,1999,6
2306,-2.8,-0.88,0,0.0030046322,1999,6
2307,-2.78,-0.88,0,0.0031440565,1999,6
2308,-2.76,-0.88,0,0.0030950897,1999,6
2309,-2.74,-0.88,0,0.003745897,1999,6
2310,-2.72,-0.88,0,0.005252076,1999,6
2311,-2.7,-0.88,0,0.0058126412,1999,6
2312,-2.68,-0.88,0,0.004649655,1999,6
2313,-2.66,-0.88,0,0.0041482444,1999,6
2314,-2.64,-0.88,0,0.0038062758,1999,6
2315,-2.62,-0.88,0,0.0031720453,1999,6
2316,-2.6,-0.88,0,0.004511629,1999,6
2317,-2.58,-0.88,0,0.0069492655,1999,6
2318,-2.56,-0.88,0,0.00679473,1999,6
2319,-2.54,-0.88,0,0.012425088,1999,6
2320,-2.52,-0.88,0,0.013948145,1999,6
2448,-2.84,-0.86,0,0.002970308,1999,6
2449,-2.82,-0.86,0,0.002665063,1999,6
2450,-2.8,-0.86,0,0.002518755,1999,6
2451,-2.78,-0.86,0,0.0041122017,1999,6
2452,-2.76,-0.86,0,0.0045916494,1999,6
2453,-2.74,-0.86,0,0.0038056904,1999,6
2454,-2.72,-0.86,0,0.0034163948,1999,6
2455,-2.7,-0.86,0,0.003724252,1999,6
2456,-2.68,-0.86,0,0.0036274074,1999,6
2457,-2.66,-0.86,0,0.003621568,1999,6
2458,-2.64,-0.86,0,0.0038060413,1999,6
2459,-2.62,-0.86,0,0.0034119647,1999,6
2460,-2.6,-0.86,0,0.004007417,1999,6
2461,-2.58,-0.86,0,0.006124831,1999,6
2462,-2.56,-0.86,0,0.007120988,1999,6
2463,-2.54,-0.86,0,0.007825241,1999,6
2464,-2.52,-0.86,0,0.0065726205,1999,6
2592,-2.84,-0.84,0,0.0021248446,1999,6
2593,-2.82,-0.84,0,0.0022693856,1999,6
2594,-2.8,-0.84,0,0.002203403,1999,6
2595,-2.78,-0.84,0,0.0049800435,1999,6
2596,-2.76,-0.84,0,0.006413717,1999,6
2597,-2.74,-0.84,0,0.0058100107,1999,6
2598,-2.72,-0.84,0,0.0052773505,1999,6
2599,-2.7,-0.84,0,0.006168136,1999,6
2600,-2.68,-0.84,0,0.0057746554,1999,6
2601,-2.66,-0.84,0,0.004700724,1999,6
2602,-2.64,-0.84,0,0.0037929274,1999,6
2603,-2.62,-0.84,0,0.0030395987,1999,6
2604,-2.6,-0.84,0,0.002622805,1999,6
2605,-2.58,-0.84,0,0.005078164,1999,6
2606,-2.56,-0.84,0,0.0063985777,1999,6
2607,-2.54,-0.84,0,0.006134631,1999,6
2608,-2.52,-0.84,0,0.0041443408,1999,6
2736,-2.84,-0.82,0,0.004575594,1999,6
2737,-2.82,-0.82,0,0.002880367,1999,6
2738,-2.8,-0.82,0,0.0022781945,1999,6
2739,-2.78,-0.82,0,0.0052193413,1999,6
2740,-2.76,-0.82,0,0.0070824954,1999,6
2741,-2.74,-0.82,0,0.0059277294,1999,6
2742,-2.72,-0.82,0,0.005321356,1999,6
2743,-2.7,-0.82,0,0.007707567,1999,6
2744,-2.68,-0.82,0,0.007937464,1999,6
2745,-2.66,-0.82,0,0.006700794,1999,6
2746,-2.64,-0.82,0,0.0044268803,1999,6
2747,-2.62,-0.82,0,0.0020790605,1999,6
2748,-2.6,-0.82,0,0.0018068545,1999,6
2749,-2.58,-0.82,0,0.002951483,1999,6
2750,-2.56,-0.82,0,0.0043614227,1999,6
2751,-2.54,-0.82,0,0.0043416084,1999,6
2752,-2.52,-0.82,0,0.0034435734,1999,6
2880,-2.84,-0.8,0,0.0032984829,1999,6
2881,-2.82,-0.8,0,0.002673229,1999,6
2882,-2.8,-0.8,0,0.0028815435,1999,6
2883,-2.78,-0.8,0,0.003614044,1999,6
2884,-2.76,-0.8,0,0.0055784932,1999,6
2885,-2.74,-0.8,0,0.005048828,1999,6
2886,-2.72,-0.8,0,0.0034483862,1999,6
2887,-2.7,-0.8,0,0.006326257,1999,6
2888,-2.68,-0.8,0,0.0077513675,1999,6
2889,-2.66,-0.8,0,0.007130609,1999,6
2890,-2.64,-0.8,0,0.004888689,1999,6
2891,-2.62,-0.8,0,0.0019212521,1999,6
2892,-2.6,-0.8,0,0.0018274537,1999,6
2893,-2.58,-0.8,0,0.002415917,1999,6
2894,-2.56,-0.8,0,0.002847542,1999,6
2895,-2.54,-0.8,0,0.00454345,1999,6
2896,-2.52,-0.8,0,0.004991687,1999,6
3024,-2.84,-0.78,0,0.0048049795,1999,6
3025,-2.82,-0.78,0,0.003536355,1999,6
3026,-2.8,-0.78,0,0.0029421672,1999,6
3027,-2.78,-0.78,0,0.0030088301,1999,6
3028,-2.76,-0.78,0,0.0026549299,1999,6
3029,-2.74,-0.78,0,0.0033236828,1999,6
3030,-2.72,-0.78,0,0.002261988,1999,6
3031,-2.7,-0.78,0,0.0033979882,1999,6
3032,-2.68,-0.78,0,0.005062571,1999,6
3033,-2.66,-0.78,0,0.0049623526,1999,6
3034,-2.64,-0.78,0,0.0032591452,1999,6
3035,-2.62,-0.78,0,0.001886626,1999,6
3036,-2.6,-0.78,0,0.0019322996,1999,6
3037,-2.58,-0.78,0,0.0023540475,1999,6
3038,-2.56,-0.78,0,0.0046795323,1999,6
3039,-2.54,-0.78,0,0.01492171,1999,6
3040,-2.52,-0.78,0,0.0125146415,1999,6
3168,-2.84,-0.76,0,0.0062094736,1999,6
3169,-2.82,-0.76,0,0.0054917387,1999,6
3170,-2.8,-0.76,0,0.0032457907,1999,6
3171,-2.78,-0.76,0,0.00367798,1999,6
3172,-2.76,-0.76,0,0.0033561531,1999,6
3173,-2.74,-0.76,0,0.0021094647,1999,6
3174,-2.72,-0.76,0,0.0024446764,1999,6
3175,-2.7,-0.76,0,0.002548407,1999,6
3176,-2.68,-0.76,0,0.0022881886,1999,6
3177,-2.66,-0.76,0,0.0025129248,1999,6
3178,-2.64,-0.76,0,0.0020875474,1999,6
3179,-2.62,-0.76,0,0.0020064118,1999,6
3180,-2.6,-0.76,0,0.001882095,1999,6
3181,-2.58,-0.76,0,0.0029692797,1999,6
3182,-2.56,-0.76,0,0.004478073,1999,6
3183,-2.54,-0.76,0,0.007275519,1999,6
3184,-2.52,-0.76,0,0.008267554,1999,6
3312,-2.84,-0.74,0,0.00562196,1999,6
3313,-2.82,-0.74,0,0.007564598,1999,6
3314,-2.8,-0.74,0,0.0064656828,1999,6
3315,-2.78,-0.74,0,0.0038758656,1999,6
3316,-2.76,-0.74,0,0.003225065,1999,6
3317,-2.74,-0.74,0,0.002773595,1999,6
3318,-2.72,-0.74,0,0.0025902477,1999,6
3319,-2.7,-0.74,0,0.0022469393,1999,6
3320,-2.68,-0.74,0,0.0018986384,1999,6
3321,-2.66,-0.74,0,0.0022010235,1999,6
3322,-2.64,-0.74,0,0.001962981,1999,6
3323,-2.62,-0.74,0,0.0017590907,1999,6
3324,-2.6,-0.74,0,0.0017277009,1999,6
3325,-2.58,-0.74,0,0.0035837542,1999,6
3326,-2.56,-0.74,0,0.005499242,1999,6
3327,-2.54,-0.74,0,0.0054997574,1999,6
3328,-2.52,-0.74,0,0.0075235474,1999,6
3456,-2.84,-0.72,0,0.0054743974,1999,6
3457,-2.82,-0.72,0,0.0072861044,1999,6
3458,-2.8,-0.72,0,0.009551616,1999,6
3459,-2.78,-0.72,0,0.009110279,1999,6
3460,-2.76,-0.72,0,0.0060799937,1999,6
3461,-2.74,-0.72,0,0.003485725,1999,6
3462,-2.72,-0.72,0,0.0026757054,1999,6
3463,-2.7,-0.72,0,0.0022487878,1999,6
3464,-2.68,-0.72,0,0.002313232,1999,6
3465,-2.66,-0.72,0,0.0021694025,1999,6
3466,-2.64,-0.72,0,0.0018956148,1999,6
3467,-2.62,-0.72,0,0.0015690866,1999,6
3468,-2.6,-0.72,0,0.0016296192,1999,6
3469,-2.58,-0.72,0,0.0026471773,1999,6
3470,-2.56,-0.72,0,0.0043353965,1999,6
3471,-2.54,-0.72,0,0.0044176504,1999,6
3472,-2.52,-0.72,0,0.004498633,1999,6
15552,-2.84,-1.2,0,0.0033296978,1999,7
15553,-2.82,-1.2,0,0.0038190652,1999,7
15554,-2.8,-1.2,0,0.0052760206,1999,7
15555,-2.78,-1.2,0,0.009960165,1999,7
15556,-2.76,-1.2,0,0.012741015,1999,7
15557,-2.74,-1.2,0,0.005306015,1999,7
15558,-2.72,-1.2,0,0.006187581,1999,7
15559,-2.7,-1.2,0,0.007150534,1999,7
15560,-2.68,-1.2,0,0.010621472,1999,7
15561,-2.66,-1.2,0,0.009150438,1999,7
15562,-2.64,-1.2,0,0.0037668839,1999,7
15563,-2.62,-1.2,0,0.0011537033,1999,7
15564,-2.6,-1.2,0,0.00089871295,1999,7
15565,-2.58,-1.2,0,0.0018992092,1999,7
15566,-2.56,-1.2,0,0.00733853,1999,7
15567,-2.54,-1.2,0,0.004122167,1999,7
15568,-2.52,-1.2,0,0.0041635185,1999,7
15696,-2.84,-1.18,0,0.0073779426,1999,7
15697,-2.82,-1.18,0,0.0044147647,1999,7
15698,-2.8,-1.18,0,0.0058682347,1999,7
15699,-2.78,-1.18,0,0.004678618,1999,7
15700,-2.76,-1.18,0,0.0074568423,1999,7
15701,-2.74,-1.18,0,0.003534755,1999,7
15702,-2.72,-1.18,0,0.006259709,1999,7
15703,-2.7,-1.18,0,0.006864647,1999,7
15704,-2.68,-1.18,0,0.0069640526,1999,7
15705,-2.66,-1.18,0,0.0054889354,1999,7
15706,-2.64,-1.18,0,0.0036346577,1999,7
15707,-2.62,-1.18,0,0.0016146265,1999,7
15708,-2.6,-1.18,0,0.0017218471,1999,7
15709,-2.58,-1.18,0,0.007950279,1999,7
15710,-2.56,-1.18,0,0.009848042,1999,7
15711,-2.54,-1.18,0,0.004335981,1999,7
15712,-2.52,-1.18,0,0.00447179,1999,7
15840,-2.84,-1.16,0,0.0057044057,1999,7
15841,-2.82,-1.16,0,0.0035471495,1999,7
15842,-2.8,-1.16,0,0.006343152,1999,7
15843,-2.78,-1.16,0,0.012888963,1999,7
15844,-2.76,-1.16,0,0.010019245,1999,7
15845,-2.74,-1.16,0,0.01398223,1999,7
15846,-2.72,-1.16,0,0.026525076,1999,7
15847,-2.7,-1.16,0,0.012973039,1999,7
15848,-2.68,-1.16,0,0.0067299106,1999,7
15849,-2.66,-1.16,0,0.006111839,1999,7
15850,-2.64,-1.16,0,0.005697543,1999,7
15851,-2.62,-1.16,0,0.003865982,1999,7
15852,-2.6,-1.16,0,0.006967697,1999,7
15853,-2.58,-1.16,0,0.012668881,1999,7
15854,-2.56,-1.16,0,0.01056032,1999,7
15855,-2.54,-1.16,0,0.004298561,1999,7
15856,-2.52,-1.16,0,0.0037565774,1999,7
15984,-2.84,-1.14,0,0.002464978,1999,7
15985,-2.82,-1.14,0,0.0023197294,1999,7
15986,-2.8,-1.14,0,0.002697823,1999,7
15987,-2.78,-1.14,0,0.015138284,1999,7
15988,-2.76,-1.14,0,0.017125007,1999,7
15989,-2.74,-1.14,0,0.023902569,1999,7
15990,-2.72,-1.14,0,0.035991043,1999,7
15991,-2.7,-1.14,0,0.0173625,1999,7
15992,-2.68,-1.14,0,0.006560177,1999,7
15993,-2.66,-1.14,0,0.008578219,1999,7
15994,-2.64,-1.14,0,0.008715582,1999,7
15995,-2.62,-1.14,0,0.0076767155,1999,7
15996,-2.6,-1.14,0,0.011270784,1999,7
15997,-2.58,-1.14,0,0.017944016,1999,7
15998,-2.56,-1.14,0,0.025392234,1999,7
15999,-2.54,-1.14,0,0.015593326,1999,7
16000,-2.52,-1.14,0,0.0053862263,1999,7
16128,-2.84,-1.12,0,0.007162623,1999,7
16129,-2.82,-1.12,0,0.0018438483,1999,7
16130,-2.8,-1.12,0,0.0016958052,1999,7
16131,-2.78,-1.12,0,0.00997409,1999,7
16132,-2.76,-1.12,0,0.019218924,1999,7
16133,-2.74,-1.12,0,0.02937617,1999,7
16134,-2.72,-1.12,0,0.030849667,1999,7
16135,-2.7,-1.12,0,0.017946549,1999,7
16136,-2.68,-1.12,0,0.0073069558,1999,7
16137,-2.66,-1.12,0,0.011101368,1999,7
16138,-2.64,-1.12,0,0.011664498,1999,7
16139,-2.62,-1.12,0,0.013539373,1999,7
16140,-2.6,-1.12,0,0.0144341,1999,7
16141,-2.58,-1.12,0,0.021582792,1999,7
16142,-2.56,-1.12,0,0.0133570405,1999,7
16143,-2.54,-1.12,0,0.006371012,1999,7
16144,-2.52,-1.12,0,0.006939719,1999,7
16272,-2.84,-1.1,0,0.0017793606,1999,7
16273,-2.82,-1.1,0,0.001538747,1999,7
16274,-2.8,-1.1,0,0.0019158492,1999,7
16275,-2.78,-1.1,0,0.0031132135,1999,7
16276,-2.76,-1.1,0,0.01352204,1999,7
16277,-2.74,-1.1,0,0.028814552,1999,7
16278,-2.72,-1.1,0,0.027922852,1999,7
16279,-2.7,-1.1,0,0.013745261,1999,7
16280,-2.68,-1.1,0,0.0076911156,1999,7
16281,-2.66,-1.1,0,0.011921356,1999,7
16282,-2.64,-1.1,0,0.014215414,1999,7
16283,-2.62,-1.1,0,0.01224657,1999,7
16284,-2.6,-1.1,0,0.011730521,1999,7
16285,-2.58,-1.1,0,0.017103111,1999,7
